company,url,page_kind,rule_id,independent_observation,comparison_status,comparison_reason,content_sha256,audit_fetch_time
goodee,https://www.goodeeworld.com/collections/alessi,category,technical.meta_description_present,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,38063d86fe01bcf867efdff461785cc860d14125ca87937b332f5d670f93bbea,2026-08-31T03:48:57.905324+00:00
goodee,https://www.goodeeworld.com/collections/alessi,category,technical.title_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,38063d86fe01bcf867efdff461785cc860d14125ca87937b332f5d670f93bbea,2026-08-31T03:48:57.905324+00:00
goodee,https://www.goodeeworld.com/pages/faq,faq,technical.meta_description_present,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,de5cb08fc5928f742cc0cb6454a177cb18be2b3778f245ce85a3b2195adc58f1,2026-08-31T03:48:58.745866+00:00
goodee,https://www.goodeeworld.com/pages/faq,faq,technical.title_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,de5cb08fc5928f742cc0cb6454a177cb18be2b3778f245ce85a3b2195adc58f1,2026-08-31T03:48:58.745866+00:00
goodee,https://www.goodeeworld.com/blogs/stories/the-cape-retreat-on-place-preservation-hospitality,article,technical.single_h1,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,eac08a0f4926db649aca7f848d06014dc3bb161a1c6ff1047c82a38c4e247ce4,2026-08-31T03:48:59.475533+00:00
goodee,https://www.goodeeworld.com/blogs/stories/the-cape-retreat-on-place-preservation-hospitality,article,technical.title_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,eac08a0f4926db649aca7f848d06014dc3bb161a1c6ff1047c82a38c4e247ce4,2026-08-31T03:48:59.475533+00:00
goodee,https://www.goodeeworld.com/blogs/stories/the-cape-retreat-on-place-preservation-hospitality,article,technical.meta_description_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,eac08a0f4926db649aca7f848d06014dc3bb161a1c6ff1047c82a38c4e247ce4,2026-08-31T03:48:59.475533+00:00
goodee,https://www.goodeeworld.com/pages/reviews,case_study_review,technical.title_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,d59d7e6382682ee14e0162f2628b25e7d8729f302ae2a10cf7544915246ae109,2026-08-31T03:49:00.039030+00:00
goodee,https://www.goodeeworld.com/pages/reviews,case_study_review,technical.meta_description_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,d59d7e6382682ee14e0162f2628b25e7d8729f302ae2a10cf7544915246ae109,2026-08-31T03:49:00.039030+00:00
goodee,https://www.goodeeworld.com/collections/new-at-goodee/products/buddys-dogwear-capri-isola-woven-cotton-dog-collar-beige,product,technical.meta_description_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,fa9c5a75e44ad481dc9741ef9fa874022324d65fb393da5a2f9a6d36a67ded77,2026-08-31T03:49:00.594650+00:00
goodee,https://www.goodeeworld.com/,homepage,technical.single_h1,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,a832ac55cba5b1484f18973e24aa316ac885a802fc0f1221a2755b6d7923e4c6,2026-08-31T03:49:01.350810+00:00
goodee,https://www.goodeeworld.com/pages/ecobirdy-b2b,other,technical.meta_description_present,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,4cdc361595c01470468847c3a63e04979816cd7b7b1675343bdb729e38580030,2026-08-31T03:49:02.634490+00:00
goodee,https://www.goodeeworld.com/pages/ecobirdy-b2b,other,technical.single_h1,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,4cdc361595c01470468847c3a63e04979816cd7b7b1675343bdb729e38580030,2026-08-31T03:49:02.634490+00:00
goodee,https://www.goodeeworld.com/pages/ecobirdy-b2b,other,technical.title_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,4cdc361595c01470468847c3a63e04979816cd7b7b1675343bdb729e38580030,2026-08-31T03:49:02.634490+00:00
goodee,https://www.goodeeworld.com/pages/contact-us,about_contact,technical.single_h1,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,a53487ad9f07bed5aea1c7514419b049e64df5fbc8a7c99017e02c3cffa33542,2026-08-31T03:49:03.120739+00:00
goodee,https://www.goodeeworld.com/pages/contact-us,about_contact,technical.title_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,a53487ad9f07bed5aea1c7514419b049e64df5fbc8a7c99017e02c3cffa33542,2026-08-31T03:49:03.120739+00:00
goodee,https://www.goodeeworld.com/pages/contact-us,about_contact,technical.meta_description_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,a53487ad9f07bed5aea1c7514419b049e64df5fbc8a7c99017e02c3cffa33542,2026-08-31T03:49:03.120739+00:00
goodee,https://www.goodeeworld.com/collections/allday-goods,category,technical.meta_description_present,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,60aade344ac71f4aaa93b048ee0423867d027f6d80bc226d8229feefcd47d77a,2026-08-31T03:49:03.687302+00:00
goodee,https://www.goodeeworld.com/collections/allday-goods,category,technical.title_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,60aade344ac71f4aaa93b048ee0423867d027f6d80bc226d8229feefcd47d77a,2026-08-31T03:49:03.687302+00:00
goodee,https://www.goodeeworld.com/blogs/stories,article,technical.title_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,753b2a3cc55457b82cd4afca40c6d20b9f2dce29ca71c5e7725a098ee588609d,2026-08-31T03:49:04.332789+00:00
goodee,https://www.goodeeworld.com/blogs/stories,article,technical.meta_description_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,753b2a3cc55457b82cd4afca40c6d20b9f2dce29ca71c5e7725a098ee588609d,2026-08-31T03:49:04.332789+00:00
goodee,https://www.goodeeworld.com/collections/astep,category,technical.title_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,2aedeae71905eb30d79a37f5a7a3d2d13e15ec174fcde6c25dfcc2ff875e96b5,2026-08-31T03:49:04.984469+00:00
goodee,https://www.goodeeworld.com/collections/astep,category,technical.meta_description_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,2aedeae71905eb30d79a37f5a7a3d2d13e15ec174fcde6c25dfcc2ff875e96b5,2026-08-31T03:49:04.984469+00:00
goodee,https://www.goodeeworld.com/blogs/stories/tagged/founders-letter,article,technical.meta_description_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,28422366a9274dc7e217f9e30a92fc411185ef25789fb68a2c16591dc45619de,2026-08-31T03:49:05.717682+00:00
lootcrate,https://lootcrate.com/pages/_go_,other,technical.meta_description_present,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,ba986d03d810a73c458077f04573906c613901225666862ec44a403236bb7023,2026-08-31T03:49:06.039189+00:00
lootcrate,https://lootcrate.com/pages/_go_,other,technical.title_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,ba986d03d810a73c458077f04573906c613901225666862ec44a403236bb7023,2026-08-31T03:49:06.039189+00:00
lootcrate,https://lootcrate.com/products/loot-crate,product,technical.meta_description_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,d81aa58cb328a56692f6b1b8c60320150b5df066171c1f94bf9c63830238e796,2026-08-31T03:49:06.327388+00:00
lootcrate,https://lootcrate.com/pages/contact-us,about_contact,aeo.structured_data_present,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,809a06e1be67628d6429767c28ae82161badb12c2a98b445992a37b52208a6ad,2026-08-31T03:49:06.667979+00:00
lootcrate,https://lootcrate.com/pages/contact-us,about_contact,technical.meta_description_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,809a06e1be67628d6429767c28ae82161badb12c2a98b445992a37b52208a6ad,2026-08-31T03:49:06.667979+00:00
lootcrate,https://lootcrate.com/collections/quakecon-sale,category,aeo.structured_data_present,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,7007dd6198763d6beccd4995c71024bb4edb6dfa858dac9fc897c3813e53f022,2026-08-31T03:49:06.999471+00:00
lootcrate,https://lootcrate.com/collections/quakecon-sale,category,technical.meta_description_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,7007dd6198763d6beccd4995c71024bb4edb6dfa858dac9fc897c3813e53f022,2026-08-31T03:49:06.999471+00:00
lootcrate,https://lootcrate.com/blogs/news/contact,article,technical.meta_description_length_band,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,6a8b5c1aa773eab4b67c86e5eefd136f4e734402be08da4715ed492f094c2567,2026-08-31T03:49:07.263110+00:00
lootcrate,https://lootcrate.com/,homepage,technical.single_h1,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,e66dfc9b0455975b2188efacb99f2b3fe863ed7df56cf64f831d67192d60ee7b,2026-08-31T03:49:07.633326+00:00
lootcrate,https://lootcrate.com/,homepage,aeo.structured_data_present,deterministic frozen-fact evaluation missing from persisted occurrence,not_comparable,replay-only candidate; classification and applicability were not independently established on the stored contract,e66dfc9b0455975b2188efacb99f2b3fe863ed7df56cf64f831d67192d60ee7b,2026-08-31T03:49:07.633326+00:00
